incident_date,city,state,description,plan,citation
9/6/2016,wellington,CO,Worker struck and killed by steel roller machine.,unknown,unknown
9/6/2016,decatur,GA,Worker killed in fall through roof.,unknown,unknown
9/6/2016,clinton township,MI,Worker electrocuted in box truck.,unknown,unknown
9/6/2016,sugar hill,GA,Worker killed in fall down manhole.,unknown,unknown
9/6/2016,anniston,AL,Worker fatally crushed between scissor lift table and floor.,unknown,unknown
9/6/2016,livingston,TX,Worker died when postal truck became partially submerged in lake.,unknown,unknown
9/6/2016,lewisville,TX,Worker struck and killed by trailer being towed by pickup truck.,unknown,unknown
9/5/2016,prescott,WA,Worker fatally crushed when tractor trailer flipped over.,unknown,unknown
9/4/2016,boston,MA,Worker fatally crushed between counter-weights and cab of crane.,unknown,unknown
9/3/2016,gardena,CA,Worker fatally crushed between wall and counter cutting machine.,unknown,unknown
9/3/2016,miami,FL,Worker fatally crushed when storage rack collapsed.,unknown,unknown
9/3/2016,el paso,TX,Worker died from strangulation when lanyard got stuck in conveyor belt.,unknown,unknown
9/2/2016,hauppauge,NY,Worker killed in fall from elevated forklift.,unknown,unknown
9/1/2016,frederic,WI,Worker asphyxiated from exposure to chlorine gas.,unknown,unknown
9/1/2016,west palm beach,FL,Worker killed in fall from building.,unknown,unknown
9/1/2016,rockport,ME,Worker struck and killed by bulldozer.,unknown,unknown
9/1/2016,el campo,TX,Worker struck and killed by rod that dislodged from pipe.,unknown,unknown
9/1/2016,lubbock,TX,Worker fatally crushed by truck.,unknown,unknown
9/1/2016,bluegrass,IA,Worker struck and killed by motor vehicle.,unknown,unknown
8/31/2016,dallas,TX,Worker killed in fall down elevator shaft.,unknown,unknown
8/31/2016,plains,TX,Two workers struck and killed by falling block on drilling rig.,unknown,unknown
8/31/2016,caledonia,NY,Worker hospitalized for burns suffered when sparks from grinder ignited gasoline.,unknown,unknown
8/31/2016,st. helena,CA,Worker struck and killed by falling barrel racks.,unknown,unknown
8/31/2016,tuskahoma,OK,Worker fatally crushed between equipment and truck.,unknown,unknown
8/30/2016,sabine pass,TX,Worker dismantling oil rig died after falling into the sea.,unknown,unknown
8/30/2016,midland,TX,Three workers hospitalized after being burned by arc flash fom power line.,unknown,unknown
8/29/2016,goldsmith,TX,Worker electrocuted while replacing computer board.,unknown,unknown
8/29/2016,mcconnellsburg,PA,Worker struck and killed by tree.,unknown,unknown
8/29/2016,mount serling,IL,Worker directing traffic for road construction crew struck and killed by trailer.,unknown,unknown
8/28/2016,kansas city,MO,Worker fatally shot durring robbery.,unknown,unknown
8/28/2016,cantonment,FL,Worker killed in explosion of nitrous oxide tank.,unknown,unknown
8/28/2016,lakehurst,NJ,Worker struck and killed by service elevator cage.,unknown,unknown
8/27/2016,gifford,PA,Worker killed in fall into water line excavation.,unknown,unknown
8/27/2016,edison,NJ,Worker struck and killed by steel rack.,unknown,unknown
8/26/2016,longmont,CO,Worker directing traffic for road construction crew struck and killed by tractor trailer.,unknown,unknown
8/26/2016,darien center,NY,Worker struck and killed by roller being loaded onto trailer.,unknown,unknown
8/25/2016,ada,MI,Worker killed in fall from ladder.,unknown,unknown
8/24/2016,andrews,TX,Worker struck and killed by block.,unknown,unknown
8/24/2016,shawnee,OK,Worker struck and killed by vehicle.,unknown,unknown
8/24/2016,marco island,FL,Worker on ladder struck and killed by lightning.,unknown,unknown
8/24/2016,webster,NY,Worker killed in fall from building.,unknown,unknown
8/23/2016,westport,CT,Worker fatally crushed between cement chute an fence.,unknown,unknown
8/23/2016,cranston,RI,Worker killed in fall down stairs.,unknown,unknown
8/23/2016,vicksburg,MS,Worker killed when truck rolled into river.,unknown,unknown
8/22/2016,geneva,AL,Worker killed in fall from steel platform.,unknown,unknown
8/22/2016,idaho falls,ID,Worker killed in fall down stairs.,unknown,unknown
8/22/2016,mobile,AL,Worker killed in fall while attaching a crane to metal wall beam.,unknown,unknown
8/22/2016,chippewa falls,WI,Worker struck and killed by steel form used in production of septic tanks.,unknown,unknown
8/22/2016,erie,PA,Worker killed when lawnmower rolled over.,unknown,unknown
8/22/2016,rosenberg,TX,Worker on electric pole electrocuted after making contact with live wire.,unknown,unknown
8/22/2016,las vegas,NV,Worker killed in fall when scaffold collapsed.,unknown,unknown
8/22/2016,middlesboro,KY,Worker on riding lawnmower struck and killed by vehicle.,unknown,unknown
8/19/2016,presque isle,MI,Lifeguard struck and killed by lightning.,unknown,unknown
8/19/2016,notrees,TX,Worker struck and kllled by vehicle in construction zone.,unknown,unknown
8/19/2016,everett,WA,Worker killed in fall from ladder.,unknown,unknown
8/17/2016,miami beach,FL,Worker killed in fall from scaffold,unknown,unknown
8/17/2016,katy,TX,Worker electrocuted by circuit box.,unknown,unknown
8/17/2016,jefferson city,MO,Worker on roof died from heat stroke.,unknown,unknown
8/16/2016,waterliet,M,Worker killed in fall from scaffold.,unknown,unknown
8/16/2016,irving,TX,Worker killed in fall from ladder.,unknown,unknown
8/15/2016,denville,NJ,Worker killed in fall from water tank.,unknown,unknown
8/15/2016,dixon,CA,Worker struck and killed by truck that was backing up.,unknown,unknown
8/15/2016,saint louis,MO,Worker pulling out rebar on bridge electrocured after contacting live wire.,unknown,unknown
8/15/2016,smyrna,GA,Worker died from heat stroke while unloading steel.,unknown,unknown
8/15/2016,jersey city,NJ,Worker fatally crushed by freight container.,unknown,unknown
8/15/2016,rose city,MI,Worker struck and killed by tree.,unknown,unknown
8/15/2016,odessa,WA,Worker driving semi-truck killed when vehicle struck building.,unknown,unknown
8/15/2016,avon,OH,Worker struck and kllled by dump truck backing up in construction zone.,unknown,unknown
8/15/2016,west palm beach,FL,Worker electrocted by air-conditioner.,unknown,unknown
8/15/2016,newnan,GA,Worker electrocuted when crane contacted power lines.,unknown,unknown
8/15/2016,mojave,CA,Worker killed in fall from equipment.,unknown,unknown
8/14/2016,san diego,CA,Worke onboard a vessel died from smoke inhalation during fire.,unknown,unknown
8/13/2016,yulee,FL,Worker struck and killed by falling tree.,unknown,unknown
8/12/2016,fort meade,MD,Worker struck and killed by dump truck.,unknown,unknown
8/12/2016,danville,VA,Worker killed after becoming caught in shearing machine.,unknown,unknown
8/12/2016,las vegas,NV,Worker died after falling backward and hitting head.,unknown,unknown
8/12/2016,andover,KS,Worker electrocuted when lift contacted power lines.,unknown,unknown
8/11/2016,kansas city,MO,Worker died from heat stroke while installing sod.,unknown,unknown
8/11/2016,ravenna,OH,Worker framing commercial building killed in fall.,unknown,unknown
8/11/2016,kansas city,MO,Worler fatally shot by unknown suspect.,unknown,unknown
8/10/2016,holland,MI,Worker killed in fall from scaffold.,unknown,unknown
8/10/2016,tucson,AZ,Worker killed in fall from telecommunications tower.,unknown,unknown
8/10/2016,oakland,KY,Worker in vehicle struck and killed by train.,unknown,unknown
8/10/2016,canton,MA,Worker killed in fall from ladder.,unknown,unknown
8/10/2016,osgood,IN,Worker struck and killed by falling tree.,unknown,unknown
8/10/2016,lynchburg,VA,Worker struck and killed by tub that fell from hoist.,unknown,unknown
8/9/2016,isle,MN,Worker fatally injured while installing trusses on garage.,unknown,unknown
8/9/2016,louisville,KY,Worker killed in fall from ladder.,unknown,unknown
8/9/2016,cordova,TN,Worker killed in fall from height.,unknown,unknown
8/8/2016,bay city,TX,Worker electrocuted during demolition of electrical conduit.,unknown,unknown
8/8/2016,phoenix,AZ,Two workers suffocated inside underground storage tank.,unknown,unknown
8/8/2016,defuniak springs,FL,Worker killed in transformer explosion.,unknown,unknown
8/8/2016,rosharon,TX,Worker killed in excavation colapse,unknown,unknown
8/8/2016,wind gap,PA,Worker fatally crushed between forklift and oxygen/acetylene tanks.,unknown,unknown
8/7/2016,newcomerstown,OH,Employee died from heat stroke while installing erosion control blanket.,unknown,unknown
8/7/2016,crest hill,IL,Worker killed in fall from roof deck.,unknown,unknown
8/6/2016,west palm beach,FL,Worlker killed when concrete truck flipped over.,unknown,unknown
8/6/2016,vista,CA,Worker fatally crushed between tow truck and another vehicle.,unknown,unknown
8/5/2016,colorado springs,CO,Worker killed in fall from ladder.,unknown,unknown
8/5/2016,des plaines,IL,Worker fatally crushed between forklift and truck tractor.,unknown,unknown
8/5/2016,fort walton beach,FL,Employee setting up beach chairs struck and killed by lightning.,unknown,unknown
8/5/2016,fergus falls,MN,Worker died after being engulfed in grain hopper.,unknown,unknown
8/5/2016,west easton,PA,Worker killed in fall from lift.,unknown,unknown
8/5/2016,harrisburg,KY,Worker killed when front end loader tipped over.,unknown,unknown
8/5/2016,forsyth,GA,Worker struck and killed by saw while cutting pipe.,unknown,unknown
8/4/2016,bowling green,KY,Worker struck and killed by exploding air bag.,unknown,unknown
8/4/2016,little rock,AR,Worker struck and killed by falling tree.,unknown,unknown
8/4/2016,pearland,TX,Worker killed in fall from roof.,unknown,unknown
8/4/2016,sparkman,AR,Worker struck and killed by falling tree branch.,unknown,unknown
8/3/2016,houston,TX,Worker electroctued while working on alarm system.,unknown,unknown
8/3/2016,glennville,GA,Worker fatally crushed by pole.,unknown,unknown
8/3/2016,buffalo,NY,Worker unloading freight from tractor trailer struck and killed by crate.,unknown,unknown
8/2/2016,hatch,NM,Worker died after falling backward and hitting head.,unknown,unknown
8/2/2016,vicksburg,MS,Worker killed in fall from roof.,unknown,unknown
8/2/2016,culbertson,MT,Worker killed in fall from ladder.,unknown,unknown
8/2/2016,houston,TX,Worker prepping cars for paint died from heat stroke.,unknown,unknown
8/1/2016,livingston,TX,Three kitchen workers hospitalized after being severly burned by oil from fryers.,unknown,unknown
8/1/2016,sioux falls,SD,Worker in aerial lift struck and killed by collapsing wall.,unknown,unknown
8/1/2016,new lexington,OH,Worker struck and killed by wood lathe.,unknown,unknown
8/1/2016,morris,MN,Worker fatally crushed by bucket of skid steer loader.,unknown,unknown
7/31/2016,seattle,WA,Worker killed in fall through manlift opening.,unknown,unknown
7/26/2016,echo,MN,Worker killed in fall from bucket truck.,unknown,unknown
7/26/2016,dearborn,MI,Worker fatally crushed between two pickup trucks.,unknown,unknown
7/25/2016,minnetonka,MN,Worker killed in trench collapse.,unknown,unknown
7/25/2016,murfreesboro,TN,Worker died after being was struck by pallet.,unknown,unknown
7/23/2016,clinton,IA,Worker struck and killed by rail car.,unknown,unknown
7/23/2016,new york,NY,Worker loading material fatally crushed between hoisting platform and floor.,unknown,unknown
7/23/2016,mccomb,MS,Worker killed in fall through skylight.,unknown,unknown
7/23/2016,danville,VA,Worker died from heat stress/stroke.,unknown,unknown
7/23/2016,opelousas,LA,Employee driving yard truck died from heat stroke.,unknown,unknown
7/22/2016,brooklyn,NY,Worker struck and killed by falling cinder blocks.,unknown,unknown
7/22/2016,ormond beach,FL,Worker killed in fall from ladder.,unknown,unknown
7/22/2016,louisville,KY,Worker killed in building collapse.,unknown,unknown
7/22/2016,saint louis,MO,Employee killed when forklift tipped over.,unknown,unknown
7/22/2016,gibraltar,MI,Worker electrocuted while welding under boat.,unknown,unknown
7/22/2016,indianapolis,IN,Worker fatally shot during robbery.,unknown,unknown
7/22/2016,poplar bluff,MO,Worker performing tree trimming operations died from heat stroke.,unknown,unknown
7/21/2016,harveys lake,PA,Worker electrocuted by energized boat lift.,unknown,unknown
7/21/2016,huxley,IA,Worker killed in fall from wind tower.,unknown,unknown
7/21/2016,marysville,CA,Worker checking meters struck and killed by truck.,unknown,unknown
7/21/2016,spicewood,TX,Worker killed in fall from roof.,unknown,unknown
7/20/2016,nashville,TN,Worker killed in fall through air duct hole.,unknown,unknown
7/20/2016,lynchburg,VA,Workers electrocuted when aluminum ladder contacted power line.,unknown,unknown
7/20/2016,liberty,TX,Worker operating weed eater died from heat stress.,unknown,unknown
7/20/2016,middletown,OH,Worker fatally crushed between molding machine and forklift.,unknown,unknown
7/19/2016,northampton,PA,Worker fatally crushed by garbage truck.,unknown,unknown
7/19/2016,riverdale,MD,Worker operating landscaping equipment struck and killed by motor vehicle.,unknown,unknown
7/19/2016,fayetteville,TN,Worker struck and killed by pallet of air conditioner motors.,unknown,unknown
7/19/2016,norfolk,VA,Worker died after being struck by abrassive grit used to blast clean tank.,unknown,unknown
7/19/2016,houston,TX,Worker fatally crushed by bag of raw material that rolled off pallet.,unknown,unknown
7/19/2016,portales,NM,Worker fatally crushed by lift while changing hydraulic hose.,unknown,unknown
7/19/2016,lake havasu city,AZ,Worker electrocuted while removing cables from service station.,unknown,unknown
7/19/2016,kingman,AZ,Worker fatally crushed under farming equipment.,unknown,unknown
7/19/2016,davie,FL,Employee cutting grass died from heat stress.,unknown,unknown
7/19/2016,coker creek,TN,Worker struck and killed by truck rolling downhill.,unknown,unknown
7/18/2016,yoakum,TX,Masonry worker died from heat stress.,unknown,unknown
7/18/2016,port arthur,TX,Worker struck and killed by shaft being lifted by crane.,unknown,unknown
7/18/2016,varyburg,NY,Worker killed by antelope that escaped pen.,unknown,unknown
7/18/2016,pierce city,MO,Employee struck and killed by log.,unknown,unknown
7/18/2016,middletown,CT,Worker died from fatal lacerations suffered while sawing ceramic pipe.,unknown,unknown
7/17/2016,chantilly,VA,Worker killed in fall from building under construction.,unknown,unknown
7/17/2016,gandeeville,WV,Worker asphyxiated wile working in four-foot deep hole.,unknown,unknown
7/17/2016,lake havasu city,AZ,Worker electrocuted while moving cables.,unknown,unknown
7/15/2016,willoughby,OH,Worker died from chemical exposure.,unknown,unknown
7/15/2016,bastrop,LA,Worker killed in excavation collapse.,unknown,unknown
7/15/2016,bristol,TN,Worker electrocuted by power line while trimming bushes.,unknown,unknown
7/15/2016,bristol,TN,Worker electrocuted while trimming bushes near power line.,unknown,unknown
7/15/2016,fernandina beach,FL,Worker killed when crane cab fell 80 feet to the ground.,unknown,unknown
7/15/2016,cincinnati,OH,Worker killed in fall down elevator shaft.,unknown,unknown
7/15/2016,lindenhurst,NY,Worker trimming tree killed in fall from bucket truck.,unknown,unknown
7/14/2016,fresno,CA,Worker struck and killed by barrel.,unknown,unknown
7/14/2016,sapulpa,OK,Worker killed in excavation collapse.,unknown,unknown
7/14/2016,quinton,Virginia,Worker electrocuted while working on attic ventilation system.,unknown,unknown
7/14/2016,marietta,OH,Worker killed in fall from scaffold.,unknown,unknown
7/14/2016,huntsville,AL,Worker on roof died after being struck by lighting.,unknown,unknown
7/14/2016,tucson,AZ,Worker electrocuted while repairing air conditioner.,unknown,unknown
7/14/2016,lubbock,TX,Worker killed in fall from ladder.,unknown,unknown
7/13/2016,rocky hill,CT,Worker electrocuted while connecting wiring.,unknown,unknown
7/13/2016,winchester,NH,Worker struck and killed by dump truck transmission.,unknown,unknown
7/13/2016,newport,AR,Worker electrocuted while working on air conditioner.,unknown,unknown
7/13/2016,stafford,TX,Worker killed in fall from dome.,unknown,unknown
7/13/2016,ruidoso,NM,Worker drowned in grease and water separator.,unknown,unknown
7/12/2016,staunton,VA,Two workers struck and killed by dump truck.,unknown,unknown
7/12/2016,pharr,TX,Worker killed in fall from manhole ladder following chemical exposure.,unknown,unknown
7/12/2016,dallas,TX,Worker killed when lawn mower tipped over into river.,unknown,unknown
7/12/2016,tampa,FL,Worker trimming tree electrocuted when ladder contacted power line.,unknown,unknown
7/12/2016,cedar hill,TX,Wolker killed in backwards fall onto floor.,unknown,unknown
7/11/2016,puerto nuevo,PR,Worker struck and killed by bale of recycled cardboard.,unknown,unknown
7/11/2016,titusville,FL,Worker and patient in hospital room killed by assailant.,unknown,unknown
7/9/2016,houston,TX,Woker killed in fall from ladder.,unknown,unknown
7/9/2016,watford city,ND,Worker killed when semi truck rolled over.,unknown,unknown
7/7/2016,saint george,UT,Worker killed in fall from ladder.,unknown,unknown
