incident_date,city,state,description,plan,citation
9/30/2014,covina,ca,Worker killed in vehicle collision.,unknown,unknown
9/30/2014,tulsa,ok,Worker struck and killed by falling load when crane bolt broke.,unknown,unknown
9/30/2014,charlotte,nc,Worker killed when forklift tipped over.,unknown,unknown
9/29/2014,brownsville,tx,Worker fatally crushed between metal sections of vessel during dismantling.,unknown,unknown
9/29/2014,freeport,pa,Worker killed in fall from bed of truck. ,unknown,unknown
9/29/2014,mayflower,ar,Worker killed when loader overturned.,unknown,unknown
9/29/2014,philadelphia,pa,Worker fatally crushed  when golf cart fell off jack stands during maintenance.,unknown,unknown
9/27/2014,quaker city,oh,Worker fatally crushed by tire compactor. ,unknown,unknown
9/27/2014,conyers,ga,Worker struck and killed by dump truck.,unknown,unknown
9/26/2014,spokane,wa,Worker killed on fall from tree.,unknown,unknown
9/26/2014,hereford,tx,Employee struck and killed by truck.,unknown,unknown
9/26/2014,amarillo,tx,Oil company worker caught and killed by drill blade.,unknown,unknown
9/26/2014,lincoln university,pa,Worker killed in fall from tree.,unknown,unknown
9/25/2014,winchester,il,Worker fatally crushed by combine.,unknown,unknown
9/25/2014,quilcene,wa,Worker struck and killed by falling tree.,unknown,unknown
9/25/2014,louisville,ky,Worker died after becoming caught in concrete opening of septic system.,unknown,unknown
9/25/2014,tampa,fl,Worker fatally crushed by steel beam that fell from forklift.,unknown,unknown
9/25/2014,kihei,hi,Worker struck and killed by excavator carriage.,unknown,unknown
9/25/2014,new york,ny,Worker washing windows killed in fall from lift.,unknown,unknown
9/24/2014,saint francisville,la,Worker preforming tree cutting operations killed in fall from  aerial lift.,unknown,unknown
9/24/2014,miami,fl,Worker electrocuted by energized wires.,unknown,unknown
9/24/2014,arcadia,la,Worker struck and killed by train.,unknown,unknown
9/24/2014,winnie,tx,Worker struck and killed by steel plate that fell from carnival ride during construction.,unknown,unknown
9/24/2014,bourg,la,Worker killed in vehicle collision.,unknown,unknown
9/23/2014,roswell,ga,Worker killed in fall down stairway shaft.,unknown,unknown
9/23/2014,collbran,co,Worker killed in motorcycle collision.,unknown,unknown
9/23/2014,sheridan,wy,Worker killed in fall from ladder.,unknown,unknown
9/23/2014,marbleton,wy,Worker killed in flash fire inside well site tank.,unknown,unknown
9/23/2014,shelley,id,Worker fatally crushed by truck backing up.,unknown,unknown
9/23/2014,franklin,tn,Backhoe operator killed when equipment overturned.,unknown,unknown
9/23/2014,tampa,fl,Worker electrocuted by light fixture. ,unknown,unknown
9/23/2014,pittsburg,ks,Worker fatality injured when struck-by and caught-between piece of machinery.,unknown,unknown
9/23/2014,belleville,pa,Worker installing roof deck killed in fall from building.,unknown,unknown
9/22/2014,santa paula,ca,Worker struck and killed by motor vehicle.,unknown,unknown
9/22/2014,colorado springs,co,Worker electrocuted while working from ladder during remodeling project.,unknown,unknown
9/22/2014,tacoma,wa,Worker struck and killed by truck.,unknown,unknown
9/22/2014,penn valley,ca,Worker killed in vehicle collision.,unknown,unknown
9/22/2014,rupert,id,Worker welding diesel fuel tank killed in explosion.,unknown,unknown
9/21/2014,moxee,wa,Worker struck and killed by pole.,unknown,unknown
9/21/2014,miami,tx,Worker struck and killed by blowout preventer when the chain holding it upright broke.,unknown,unknown
9/21/2014,bronx,ny,Police officer killed in vehicle collision.,unknown,unknown
9/21/2014,new orleans,la,Worker fatally shot while delivering pizzas.,unknown,unknown
9/21/2014,hopkins,mn,Worker fatally crushed by piece of industrial equipment.,unknown,unknown
9/21/2014,fairfield,al,Two workers killed in furnace explosion.,unknown,unknown
9/20/2014,alexander,ny,Worker caught and killed by bailer while trying to clear jam in machine.,unknown,unknown
9/20/2014,farmingdale,ny,Worker killed in fall from roof.,unknown,unknown
9/20/2014,honolulu,hi,Worker fell and suffered fatal head injury.,unknown,unknown
9/19/2014,edmond,ok,Two workers on extended work platform killed when telescoping boom forklift tipped over. ,unknown,unknown
9/19/2014,bronx,ny,Warehouse worker fatally crushed by roll down gate.,unknown,unknown
9/19/2014,proctor,wv,Worker died from respiratory burns after being sprayed with caustic solution.,unknown,unknown
9/19/2014,morganton,nc,Worker performing road construction struck and killed by vehicle.,unknown,unknown
9/19/2014,baltimore,md,Worker killed in fall from ladder.,unknown,unknown
9/19/2014,dalton,ga,Worker struck and killed by textile machine frame being loaded on truck.,unknown,unknown
9/19/2014,okmulgee,ok,Worker delivering parts killed in plane crash.,unknown,unknown
9/18/2014,clinton,tn,Worker struck and killed by hook attached to snapped cable.,unknown,unknown
9/18/2014,cambridge,il,Worker killed in fall from ceiling landing.,unknown,unknown
9/18/2014,princeton,nj,Worker fatally trampled by horse. ,unknown,unknown
9/18/2014,phoenix,az,Worker fatally injured after becoming caught in rope that was loaded into a wood chipper.,unknown,unknown
9/17/2014,oklahoma city,ok,Worker electrocuted while replacing natural gas line in crawl space. ,unknown,unknown
9/17/2014,freedom,wi,Worker fatally crushed between hydraulic powered trash compactor and truck box.,unknown,unknown
9/17/2014,lansing,mi,Worker fatally crushed by vehicle.,unknown,unknown
9/16/2014,houston,tx,Truck operator struck and killed by metal structure that fell off the flatbed.,unknown,unknown
9/16/2014,boyce,la,Worker electrocuted when cotton harvesting machine contacted overhead power line. ,unknown,unknown
9/16/2014,waycross,ga,Worker killed in vehicle collison.,unknown,unknown
9/16/2014,akron,oh,Worker struck and killed by rolling bus. ,unknown,unknown
9/16/2014,ozark,mo,Worker struck and killed by front-end loader. ,unknown,unknown
9/16/2014,la quinta,ca,Worker drowned in pond while cleaning it.,unknown,unknown
9/16/2014,union city,in,Worker killed in fall from water transfer tower.,unknown,unknown
9/15/2014,san ardo,ca,Worker operating tractor killed when vehicle went off embankment.,unknown,unknown
9/15/2014,homestead,fl,Worker killed when caught in tractor trailer drive shaft.,unknown,unknown
9/15/2014,monticello,wi,Worker killed when tractor slid into ditch.,unknown,unknown
9/15/2014,arkansas city,ks,Worker operating pump truck electrocuted when vehicle contacted power line.,unknown,unknown
9/15/2014,girard,il,Two hundred workers hospitalized for carbon monoxide exposure from faulty boiler flue.,unknown,unknown
9/15/2014,grand island,ne,Worker killed in fall from roof.,unknown,unknown
9/15/2014,san ardo,ca,Worker struck and killed by forklift.,unknown,unknown
9/15/2014,tallulah,la,Worker struck and killed by truck.,unknown,unknown
9/14/2014,pomona,ca,Worker killed in fall from roof.,unknown,unknown
9/14/2014,denton,tx,Worker killed in fall from forklift.,unknown,unknown
9/12/2014,orlando,fl,Worker struck and killed by utility vehicle. ,unknown,unknown
9/12/2014,parkville,mo,Worker fatally crushed between truck and house.,unknown,unknown
9/12/2014,kinston,nc,Worker unclogging jam from tobacco harvester killed when arm became caught in machine belt. ,unknown,unknown
9/12/2014,tarentum,pa,Worker replacing barn roof electrocuted when ladder contacted overhead power line. ,unknown,unknown
9/12/2014,hato rey,pr,Worker killed in fall from second floor of building under construction.,unknown,unknown
9/12/2014,golden,ms,Worker struck and killed by tractor tire inner tube that exploded during inflation.,unknown,unknown
9/11/2014,dickinson,tx,Worker killed when oxygen cylinder exploded. ,unknown,unknown
